2453375,1/4/2005,Tue,0.7523
2453376,1/5/2005,Wed,0.75214
2453377,1/6/2005,Thu,0.75857
2453378,1/7/2005,Fri,0.76581
2453381,1/10/2005,Mon,0.7629
2453382,1/11/2005,Tue,0.76004
2453383,1/12/2005,Wed,0.75309
2453384,1/13/2005,Thu,0.75691
2453385,1/14/2005,Fri,0.76326
2453388,1/17/2005,Mon,0.76495
2453389,1/18/2005,Tue,0.76673
2453390,1/19/2005,Wed,0.76778
2453391,1/20/2005,Thu,0.77184
2453392,1/21/2005,Fri,0.76704
2453395,1/24/2005,Mon,0.76687
2453396,1/25/2005,Tue,0.77196
2453397,1/26/2005,Wed,0.76446
2453398,1/27/2005,Thu,0.76756
2453399,1/28/2005,Fri,0.76739
2453402,1/31/2005,Mon,0.76623
2453403,2/1/2005,Tue,0.76847
2453404,2/2/2005,Wed,0.76792
2453405,2/3/2005,Thu,0.77173
2453406,2/4/2005,Fri,0.77358
2453409,2/7/2005,Mon,0.78298
2453410,2/8/2005,Tue,0.78235
2453411,2/9/2005,Wed,0.78153
2453412,2/10/2005,Thu,0.77629
2453413,2/11/2005,Fri,0.77748
2453416,2/14/2005,Mon,0.7706
2453417,2/15/2005,Tue,0.77052
2453418,2/16/2005,Wed,0.76957
2453419,2/17/2005,Thu,0.7644
2453420,2/18/2005,Fri,0.7651
2453423,2/21/2005,Mon,0.76505
2453424,2/22/2005,Tue,0.75565
2453425,2/23/2005,Wed,0.75672
2453426,2/24/2005,Thu,0.75707
2453427,2/25/2005,Fri,0.75788
2453430,2/28/2005,Mon,0.75421
2453431,3/1/2005,Tue,0.75847
2453432,3/2/2005,Wed,0.76178
2453433,3/3/2005,Thu,0.76197
2453434,3/4/2005,Fri,0.75508
2453437,3/7/2005,Mon,0.75659
2453438,3/8/2005,Tue,0.74969
2453439,3/9/2005,Wed,0.74715
2453440,3/10/2005,Thu,0.74578
2453441,3/11/2005,Fri,0.74243
2453444,3/14/2005,Mon,0.74916
2453445,3/15/2005,Tue,0.75163
2453446,3/16/2005,Wed,0.74522
2453447,3/17/2005,Thu,0.74792
2453448,3/18/2005,Fri,0.75138
2453451,3/21/2005,Mon,0.75969
2453452,3/22/2005,Tue,0.7571
2453453,3/23/2005,Wed,0.76908
2453454,3/24/2005,Thu,0.77186
2453458,3/28/2005,Mon,0.77664
2453459,3/29/2005,Tue,0.77442
2453460,3/30/2005,Wed,0.77258
2453461,3/31/2005,Thu,0.77099
2453462,4/1/2005,Fri,0.77562
2453465,4/4/2005,Mon,0.77895
2453466,4/5/2005,Tue,0.77867
2453467,4/6/2005,Wed,0.77724
2453468,4/7/2005,Thu,0.77491
2453469,4/8/2005,Fri,0.77472
2453472,4/11/2005,Mon,0.77083
2453473,4/12/2005,Tue,0.77693
2453474,4/13/2005,Wed,0.77426
2453475,4/14/2005,Thu,0.77986
2453476,4/15/2005,Fri,0.77363
2453479,4/18/2005,Mon,0.76702
2453480,4/19/2005,Tue,0.76733
2453481,4/20/2005,Wed,0.76472
2453482,4/21/2005,Thu,0.76379
2453483,4/22/2005,Fri,0.76521
2453486,4/25/2005,Mon,0.77016
2453487,4/26/2005,Tue,0.77133
2453488,4/27/2005,Wed,0.77285
2453489,4/28/2005,Thu,0.77435
2453490,4/29/2005,Fri,0.77405
2453493,5/2/2005,Mon,0.77769
2453494,5/3/2005,Tue,0.77594
2453495,5/4/2005,Wed,0.77307
2453496,5/5/2005,Thu,0.77304
2453497,5/6/2005,Fri,0.77919
2453500,5/9/2005,Mon,0.77883
2453501,5/10/2005,Tue,0.77655
2453502,5/11/2005,Wed,0.78115
2453503,5/12/2005,Thu,0.78697
2453504,5/13/2005,Fri,0.79098
2453507,5/16/2005,Mon,0.79177
2453508,5/17/2005,Tue,0.79097
2453509,5/18/2005,Wed,0.78991
2453510,5/19/2005,Thu,0.79146
2453511,5/20/2005,Fri,0.79651
2453515,5/24/2005,Tue,0.79439
2453516,5/25/2005,Wed,0.79357
2453517,5/26/2005,Thu,0.7989
2453518,5/27/2005,Fri,0.7957
2453521,5/30/2005,Mon,0.80186
2453522,5/31/2005,Tue,0.80976
2453523,6/1/2005,Wed,0.8175
2453524,6/2/2005,Thu,0.81537
2453525,6/3/2005,Fri,0.8179
2453528,6/6/2005,Mon,0.81498
2453529,6/7/2005,Tue,0.81458
2453530,6/8/2005,Wed,0.8118
2453531,6/9/2005,Thu,0.81855
2453532,6/10/2005,Fri,0.82451
2453535,6/13/2005,Mon,0.83038
2453536,6/14/2005,Tue,0.83068
2453537,6/15/2005,Wed,0.82584
2453538,6/16/2005,Thu,0.82727
2453539,6/17/2005,Fri,0.81706
2453542,6/20/2005,Mon,0.82381
2453543,6/21/2005,Tue,0.8241
2453544,6/22/2005,Wed,0.82449
2453545,6/23/2005,Thu,0.8293
2453546,6/24/2005,Fri,0.82736
2453549,6/27/2005,Mon,0.823
2453550,6/28/2005,Tue,0.82798
2453551,6/29/2005,Wed,0.8264
2453552,6/30/2005,Thu,0.8266
2453556,7/4/2005,Mon,0.83989
2453557,7/5/2005,Tue,0.83938
2453558,7/6/2005,Wed,0.83918
2453559,7/7/2005,Thu,0.83796
2453560,7/8/2005,Fri,0.83794
2453563,7/11/2005,Mon,0.82888
2453564,7/12/2005,Tue,0.81985
2453565,7/13/2005,Wed,0.82702
2453566,7/14/2005,Thu,0.82726
2453567,7/15/2005,Fri,0.83113
2453570,7/18/2005,Mon,0.82811
2453571,7/19/2005,Tue,0.83321
2453572,7/20/2005,Wed,0.83015
2453573,7/21/2005,Thu,0.82557
2453574,7/22/2005,Fri,0.82845
2453577,7/25/2005,Mon,0.82966
2453578,7/26/2005,Tue,0.83318
2453579,7/27/2005,Wed,0.83386
2453580,7/28/2005,Thu,0.82625
2453581,7/29/2005,Fri,0.82452
2453585,8/2/2005,Tue,0.81926
2453586,8/3/2005,Wed,0.81071
2453587,8/4/2005,Thu,0.80762
2453588,8/5/2005,Fri,0.81139
2453591,8/8/2005,Mon,0.80907
2453592,8/9/2005,Tue,0.80995
2453593,8/10/2005,Wed,0.80988
2453594,8/11/2005,Thu,0.80436
2453595,8/12/2005,Fri,0.80484
2453598,8/15/2005,Mon,0.80906
2453599,8/16/2005,Tue,0.81039
2453600,8/17/2005,Wed,0.81364
2453601,8/18/2005,Thu,0.82133
2453602,8/19/2005,Fri,0.82282
2453605,8/22/2005,Mon,0.8175
2453606,8/23/2005,Tue,0.8188
2453607,8/24/2005,Wed,0.81691
2453608,8/25/2005,Thu,0.81257
2453609,8/26/2005,Fri,0.81158
2453612,8/29/2005,Mon,0.81701
2453613,8/30/2005,Tue,0.81935
2453614,8/31/2005,Wed,0.81082
2453615,9/1/2005,Thu,0.80283
2453616,9/2/2005,Fri,0.79729
2453620,9/6/2005,Tue,0.80116
2453621,9/7/2005,Wed,0.80345
2453622,9/8/2005,Thu,0.80649
2453623,9/9/2005,Fri,0.80494
2453626,9/12/2005,Mon,0.81386
2453627,9/13/2005,Tue,0.81551
2453628,9/14/2005,Wed,0.81424
2453629,9/15/2005,Thu,0.81778
2453630,9/16/2005,Fri,0.81885
2453633,9/19/2005,Mon,0.82283
2453634,9/20/2005,Tue,0.82126
2453635,9/21/2005,Wed,0.81912
2453636,9/22/2005,Thu,0.82307
2453637,9/23/2005,Fri,0.82821
2453640,9/26/2005,Mon,0.82952
2453641,9/27/2005,Tue,0.83258
2453642,9/28/2005,Wed,0.83222
2453643,9/29/2005,Thu,0.83203
2453644,9/30/2005,Fri,0.82918
2453647,10/3/2005,Mon,0.83932
2453648,10/4/2005,Tue,0.83913
2453649,10/5/2005,Wed,0.83457
2453650,10/6/2005,Thu,0.82418
2453651,10/7/2005,Fri,0.82546
2453655,10/11/2005,Tue,0.83227
2453656,10/12/2005,Wed,0.83075
2453657,10/13/2005,Thu,0.83778
2453658,10/14/2005,Fri,0.82834
2453661,10/17/2005,Mon,0.83068
2453662,10/18/2005,Tue,0.83737
2453663,10/19/2005,Wed,0.83436
2453664,10/20/2005,Thu,0.83513
2453665,10/21/2005,Fri,0.83624
2453668,10/24/2005,Mon,0.83359
2453669,10/25/2005,Tue,0.82625
2453670,10/26/2005,Wed,0.82771
